logFC	AveExpr	t	P.Value	adj.P.Val	B	Score.Cutoff	GeneName
ENSMUSG00000026260	1.63504122805329	10.7415361087587	22.9302633684093	7.09728949663749e-41	4.61058993046487e-39	82.6893093149302	0.86	Ndufa10
ENSMUSG00000002010	1.65919234624741	11.9298443100973	23.4213267843682	1.24702887929197e-41	8.89785770019396e-40	84.4277062284862	0.87	Idh3g
ENSMUSG00000004610	1.67081991437899	12.0683941034112	19.7865563804105	9.18257437444077e-36	3.05092785990484e-34	70.9132808647068	0.87	Etfb
ENSMUSG00000032294	1.67217650757098	11.1456678587511	26.355527359404	6.39705407212238e-46	1.00686969945138e-43	94.2935467165038	0.86	Pkm
ENSMUSG00000020664	1.67638235564693	10.8955400586496	27.4655789423892	1.88830697778854e-47	3.82272377712772e-45	97.8077366601129	0.86	Dld
ENSMUSG00000020163	1.67943160970676	10.7925181694054	28.2615453915224	1.61526642702508e-48	4.26087704462221e-46	100.258992347152	0.86	Uqcr11
ENSMUSG00000063694	1.69184816171074	10.2476683369487	22.4171708921972	4.49009377930585e-40	2.64096394249037e-38	80.8447121763243	0.84	Cycs
ENSMUSG00000025204	1.71349657494237	10.2682376495816	29.0859794182665	1.33930361821613e-49	5.06897304198758e-47	102.739931185957	0.85	Ndufb8
ENSMUSG00000029545	1.7209467903409	10.2896483964083	23.04223135869	4.76331276956886e-41	3.21431299682922e-39	83.0879885691212	0.84	Acads
ENSMUSG00000058927	1.72422126881254	10.4188239487704	21.2780774462697	2.9939933785147e-38	1.38631448723247e-36	76.6436266345648	0.84	Gm10053
ENSMUSG00000026526	1.74422226804441	11.2108099664024	31.0350871590792	4.62173401981758e-52	4.0232194642512e-49	108.382868096672	0.86	Fh1
ENSMUSG00000039611	1.74820847829449	6.81648962335251	15.4783127381379	6.51385996505519e-28	9.43480049847012e-27	52.8099385328022	0.76	Tmem246
ENSMUSG00000025486	1.78434238102185	8.0698912124329	27.6558263398588	1.04393288134857e-47	2.16367517431887e-45	98.3987319755507	0.8	Sirt3
ENSMUSG00000000171	1.8185839812316	10.9250520972507	39.2508481342328	3.37516005111498e-61	1.4690384122478e-57	129.235197367716	0.85	Sdhd
ENSMUSG00000020744	1.85253360967661	9.72214824489603	25.0323430928451	4.95137495591279e-44	5.14392861718141e-42	89.951844797339	0.83	Slc25a19
ENSMUSG00000025968	1.87059265311625	10.7723702903663	33.5644607409364	4.49134536776004e-55	7.81943228527022e-52	115.274969105445	0.84	Ndufs1
ENSMUSG00000022551	1.87122365465947	11.6615458423495	28.9857384052144	1.80738656049626e-49	6.55554167046665e-47	102.441359136379	0.85	Cyc1
ENSMUSG00000034880	1.87186333629658	9.48662794249314	22.9373556695289	6.91998749285006e-41	4.52920985904209e-39	82.7146032022383	0.82	Mrpl34
ENSMUSG00000037916	1.91243904208716	11.3754115979191	28.4319868196319	9.60857160871088e-49	2.69814889851059e-46	100.77666355712	0.85	Ndufv1
ENSMUSG00000004789	1.92323095351112	10.4348780289639	35.4997709546026	2.97790292450798e-57	8.640881652614e-54	120.249455088418	0.83	Dlst
ENSMUSG00000009863	1.98461598160841	11.3674983647837	28.5986581883545	5.79552130166368e-49	1.68166709769941e-46	101.280463136415	0.84	Sdhb
ENSMUSG00000027809	2.00572731077071	9.94469032495361	30.1858046223326	5.26935872831333e-51	2.86686048312297e-48	105.961410522422	0.82	Etfdh
ENSMUSG00000025651	2.08226438831054	11.5297206700892	28.2227191135327	1.81878694743258e-48	4.65662952276487e-46	100.140715606218	0.83	Uqcrc1
ENSMUSG00000032279	2.08324251829183	11.2274660187533	25.8411786391863	3.40059801132429e-45	4.55418549055046e-43	92.6260561887699	0.83	Idh3a
ENSMUSG00000061474	2.15455344877108	8.87049215894166	30.6718947895672	1.29982338345081e-51	9.42913546078277e-49	107.354230774538	0.79	Mrps36
ENSMUSG00000059447	2.26547536180425	11.4338446635939	30.3102321132018	3.67623676463398e-51	2.13344273574259e-48	106.319714550189	0.82	Hadhb
ENSMUSG00000063684	2.32595906106846	10.7328721953628	30.8860916388402	7.05524330106223e-52	5.58326299415879e-49	107.962113830493	0.81	Gm13910
ENSMUSG00000022477	2.34123216309176	12.6312033349994	25.9484065493466	2.39552313904068e-45	3.36339176215309e-43	92.9757762285965	0.83	Aco2
ENSMUSG00000032602	2.34210539739298	10.4641517819232	28.7327106466722	3.86571783850034e-49	1.29427206862098e-46	101.683940350739	0.8	Slc25a20
ENSMUSG00000003500	2.42187017335548	9.19468852737706	25.3642031933901	1.63740458557691e-44	1.8273855022368e-42	91.0568614586858	0.78	Impdh1
ENSMUSG00000032368	2.5882784508776	5.1804333965546	13.7158938077733	2.06942745734449e-24	2.07778154742604e-23	44.7348309571675	0.58	Zic1
ENSMUSG00000036880	2.60545870284884	11.9984523469359	28.6969730491499	4.30576563429741e-49	1.38821073505774e-46	101.576525425594	0.8	Acaa2
ENSMUSG00000019577	3.48755412541755	10.5094853911387	23.9901337854077	1.71755923675296e-42	1.32312859787031e-40	86.408999815696	0.72	Pdk4
ENSMUSG00000074218	5.66888521519676	9.19033817426643	50.1541686995643	5.2319770442206e-71	4.55443601699403e-67	151.400630530463	0.54	Cox7a1
ENSMUSG00000024526	6.47874837481771	9.43049833160268	35.013681477253	1.02651084537053e-56	2.23394422723761e-53	119.023002050635	0.5	Cidea
ENSMUSG00000031710	7.28555118832412	8.85975607312903	25.6759909263822	5.84632944239836e-45	7.27032825658253e-43	92.0851231185117	0.43	Ucp1
ENSMUSG00000001657	-2.77860339736271	8.82886039088592	-24.8931896827134	7.9001072168012e-44	7.81482196843801e-42	89.4852198894978	0.73	Hoxc8
ENSMUSG00000022636	-2.56931717952835	7.36415092310823	-23.0089390878998	5.36218551109924e-41	3.56319273848235e-39	82.9695893560817	0.71	Alcam
ENSMUSG00000046532	-2.38342965448261	8.68366931863426	-19.2769174620573	6.904711210041e-35	2.0374749519799e-33	68.8935831534734	0.77	Ar
ENSMUSG00000021054	-1.84386006826889	8.09980930245761	-16.9766487164336	9.29144780798546e-31	1.78942595505561e-29	59.3729597556462	0.79	Sgpp1
ENSMUSG00000001986	-1.70974808000016	5.40948845764186	-17.7329998618115	3.78922487441273e-32	8.61232442082579e-31	62.5773881342473	0.75	Gria3
ENSMUSG00000026623	-1.64576166955421	9.76786316911018	-21.9955558762265	2.08926078278752e-39	1.15288095401852e-37	79.3069918872658	0.85	Lpgat1
